time;V(/VOUT)1;
0;-0.129635;
1e-11;-0.129635;
2e-11;-0.129635;
4e-11;-0.129635;
8e-11;-0.129635;
1.6e-10;-0.129635;
3.2e-10;-0.129635;
6.4e-10;-0.129635;
1.28e-09;-0.129635;
2.28e-09;-0.129635;
3.28e-09;-0.129635;
4.28e-09;-0.129635;
5.28e-09;-0.129635;
6.28e-09;-0.129635;
7.28e-09;-0.129635;
8.28e-09;-0.129635;
9.28e-09;-0.129635;
1.028e-08;-0.129635;
1.128e-08;-0.129635;
1.228e-08;-0.129635;
1.328e-08;-0.129635;
1.428e-08;-0.129635;
1.528e-08;-0.129635;
1.628e-08;-0.129635;
1.728e-08;-0.129635;
1.828e-08;-0.129635;
1.928e-08;-0.129635;
2.028e-08;-0.129635;
2.128e-08;-0.129635;
2.228e-08;-0.129635;
2.328e-08;-0.129635;
2.428e-08;-0.129635;
2.528e-08;-0.129635;
2.628e-08;-0.129635;
2.728e-08;-0.129635;
2.828e-08;-0.129635;
2.928e-08;-0.129635;
3.028e-08;-0.129635;
3.128e-08;-0.129635;
3.228e-08;-0.129635;
3.328e-08;-0.129635;
3.428e-08;-0.129635;
3.528e-08;-0.129635;
3.628e-08;-0.129635;
3.728e-08;-0.129635;
3.828e-08;-0.129635;
3.928e-08;-0.129635;
4.028e-08;-0.129635;
4.128e-08;-0.129635;
4.228e-08;-0.129635;
4.328e-08;-0.129635;
4.428e-08;-0.129635;
4.528e-08;-0.129635;
4.628e-08;-0.129635;
4.728e-08;-0.129635;
4.828e-08;-0.129635;
4.928e-08;-0.129635;
5.028e-08;-0.129635;
5.128e-08;-0.129635;
5.228e-08;-0.129635;
5.328e-08;-0.129635;
5.428e-08;-0.129635;
5.528e-08;-0.129635;
5.628e-08;-0.129635;
5.728e-08;-0.129635;
5.828e-08;-0.129635;
5.928e-08;-0.129635;
6.028e-08;-0.129635;
6.128e-08;-0.129635;
6.228e-08;-0.129635;
6.328e-08;-0.129635;
6.428e-08;-0.129635;
6.528e-08;-0.129635;
6.628e-08;-0.129635;
6.728e-08;-0.129635;
6.828e-08;-0.129635;
6.928e-08;-0.129635;
7.028e-08;-0.129635;
7.128e-08;-0.129635;
7.228e-08;-0.129635;
7.328e-08;-0.129635;
7.428e-08;-0.129635;
7.528e-08;-0.129635;
7.628e-08;-0.129635;
7.728e-08;-0.129635;
7.828e-08;-0.129635;
7.928e-08;-0.129635;
8.028e-08;-0.129635;
8.128e-08;-0.129635;
8.228e-08;-0.129635;
8.328e-08;-0.129635;
8.428e-08;-0.129635;
8.528e-08;-0.129635;
8.628e-08;-0.129635;
8.728e-08;-0.129635;
8.828e-08;-0.129635;
8.928e-08;-0.129635;
9.028e-08;-0.129635;
9.128e-08;-0.129635;
9.228e-08;-0.129635;
9.328e-08;-0.129635;
9.428e-08;-0.129635;
9.528e-08;-0.129635;
9.628e-08;-0.129635;
9.728e-08;-0.129635;
9.828e-08;-0.129635;
9.928e-08;-0.129635;
1.0028e-07;-0.129635;
1.0128e-07;-0.129635;
1.0228e-07;-0.129635;
1.0328e-07;-0.129635;
1.0428e-07;-0.129635;
1.0528e-07;-0.129635;
1.0628e-07;-0.129635;
1.0728e-07;-0.129635;
1.0828e-07;-0.129635;
1.0928e-07;-0.129635;
1.1028e-07;-0.129635;
1.1128e-07;-0.129635;
1.1228e-07;-0.129635;
1.1328e-07;-0.129635;
1.1428e-07;-0.129635;
1.1528e-07;-0.129635;
1.1628e-07;-0.129635;
1.1728e-07;-0.129635;
1.1828e-07;-0.129635;
1.1928e-07;-0.129635;
1.2028e-07;-0.129635;
1.2128e-07;-0.129635;
1.2228e-07;-0.129635;
1.2328e-07;-0.129635;
1.2428e-07;-0.129635;
1.2528e-07;-0.129635;
1.2628e-07;-0.129635;
1.2728e-07;-0.129635;
1.2828e-07;-0.129635;
1.2928e-07;-0.129635;
1.3028e-07;-0.129635;
1.3128e-07;-0.129635;
1.3228e-07;-0.129635;
1.3328e-07;-0.129635;
1.3428e-07;-0.129635;
1.3528e-07;-0.129635;
1.3628e-07;-0.129635;
1.3728e-07;-0.129635;
1.3828e-07;-0.129635;
1.3928e-07;-0.129635;
1.4028e-07;-0.129635;
1.4128e-07;-0.129635;
1.4228e-07;-0.129635;
1.4328e-07;-0.129635;
1.4428e-07;-0.129635;
1.4528e-07;-0.129635;
1.4628e-07;-0.129635;
1.4728e-07;-0.129635;
1.4828e-07;-0.129635;
1.4928e-07;-0.129635;
1.5028e-07;-0.129635;
1.5128e-07;-0.129635;
1.5228e-07;-0.129635;
1.5328e-07;-0.129635;
1.5428e-07;-0.129635;
1.5528e-07;-0.129635;
1.5628e-07;-0.129635;
1.5728e-07;-0.129635;
1.5828e-07;-0.129635;
1.5928e-07;-0.129635;
1.6028e-07;-0.129635;
1.6128e-07;-0.129635;
1.6228e-07;-0.129635;
1.6328e-07;-0.129635;
1.6428e-07;-0.129635;
1.6528e-07;-0.129635;
1.6628e-07;-0.129635;
1.6728e-07;-0.129635;
1.6828e-07;-0.129635;
1.6928e-07;-0.129635;
1.7028e-07;-0.129635;
1.7128e-07;-0.129635;
1.7228e-07;-0.129635;
1.7328e-07;-0.129635;
1.7428e-07;-0.129635;
1.7528e-07;-0.129635;
1.7628e-07;-0.129635;
1.7728e-07;-0.129635;
1.7828e-07;-0.129635;
1.7928e-07;-0.129635;
1.8028e-07;-0.129635;
1.8128e-07;-0.129635;
1.8228e-07;-0.129635;
1.8328e-07;-0.129635;
1.8428e-07;-0.129635;
1.8528e-07;-0.129635;
1.8628e-07;-0.129635;
1.8728e-07;-0.129635;
1.8828e-07;-0.129635;
1.8928e-07;-0.129635;
1.9028e-07;-0.129635;
1.9128e-07;-0.129635;
1.9228e-07;-0.129635;
1.9328e-07;-0.129635;
1.9428e-07;-0.129635;
1.9528e-07;-0.129635;
1.9628e-07;-0.129635;
1.9728e-07;-0.129635;
1.9828e-07;-0.129635;
1.9928e-07;-0.129635;
2.0028e-07;-0.129635;
2.0128e-07;-0.129635;
2.0228e-07;-0.129635;
2.0328e-07;-0.129635;
2.0428e-07;-0.129635;
2.0528e-07;-0.129635;
2.0628e-07;-0.129635;
2.0728e-07;-0.129635;
2.0828e-07;-0.129635;
2.0928e-07;-0.129635;
2.1028e-07;-0.129635;
2.1128e-07;-0.129635;
2.1228e-07;-0.129635;
2.1328e-07;-0.129635;
2.1428e-07;-0.129635;
2.1528e-07;-0.129635;
2.1628e-07;-0.129635;
2.1728e-07;-0.129635;
2.1828e-07;-0.129635;
2.1928e-07;-0.129635;
2.2028e-07;-0.129635;
2.2128e-07;-0.129635;
2.2228e-07;-0.129635;
2.2328e-07;-0.129635;
2.2428e-07;-0.129635;
2.2528e-07;-0.129635;
2.2628e-07;-0.129635;
